"sys_created_on","date","street_name","traffic_flow"
"2024-07-13 14:00:02","2024-07-13 14:00:02","Orange Blossom Trail","12 mins"
"2024-07-13 14:00:02","2024-07-13 14:00:02","Colonial Dr","16 mins"
"2024-07-13 14:00:02","2024-07-13 14:00:02","Orange Ave","14 mins"
"2024-07-13 09:00:02","2024-07-13 09:00:02","Colonial Dr","16 mins"
"2024-07-13 09:00:01","2024-07-13 09:00:01","Orange Blossom Trail","13 mins"
"2024-07-13 09:00:01","2024-07-13 09:00:01","Orange Ave","15 mins"
"2024-07-13 04:00:03","2024-07-13 04:00:03","Colonial Dr","15 mins"
"2024-07-13 04:00:03","2024-07-13 04:00:03","Orange Ave","12 mins"
"2024-07-13 04:00:03","2024-07-13 04:00:03","Orange Blossom Trail","12 mins"
"2024-07-12 14:00:01","2024-07-12 14:00:01","Colonial Dr","20 mins"
"2024-07-12 14:00:00","2024-07-12 14:00:00","Orange Ave","19 mins"
"2024-07-12 14:00:00","2024-07-12 14:00:00","Orange Blossom Trail","13 mins"
"2024-07-12 09:23:47","2024-07-12 09:23:47","Orange Ave","18 mins"
"2024-07-12 09:23:47","2024-07-12 09:23:47","Colonial Dr","18 mins"
"2024-07-12 09:23:47","2024-07-12 09:23:47","Orange Blossom Trail","13 mins"
"2024-07-12 09:20:52","2024-07-12 09:20:52","Orange Ave","17 mins"
"2024-07-12 09:20:52","2024-07-12 09:20:52","Colonial Dr","17 mins"
"2024-07-12 09:20:52","2024-07-12 09:20:52","Orange Blossom Trail","13 mins"
"2024-07-12 09:00:01","2024-07-12 09:00:01","Colonial Dr","18 mins"
"2024-07-12 09:00:01","2024-07-12 09:00:01","Orange Blossom Trail","13 mins"
"2024-07-12 09:00:00","2024-07-12 09:00:00","Orange Ave","18 mins"
"2024-07-12 04:00:01","2024-07-12 04:00:01","Colonial Dr","15 mins"
"2024-07-12 04:00:01","2024-07-12 04:00:01","Orange Blossom Trail","14 mins"
"2024-07-12 04:00:00","2024-07-12 04:00:00","Orange Ave","15 mins"
"2024-07-11 14:00:01","2024-07-11 14:00:01","Colonial Dr","23 mins"
"2024-07-11 14:00:01","2024-07-11 14:00:01","Orange Blossom Trail","15 mins"
"2024-07-11 14:00:00","2024-07-11 14:00:00","Orange Ave","17 mins"
"2024-07-11 09:00:01","2024-07-11 09:00:01","Colonial Dr","17 mins"
"2024-07-11 09:00:00","2024-07-11 09:00:00","Orange Blossom Trail","14 mins"
"2024-07-11 09:00:00","2024-07-11 09:00:00","Orange Ave","16 mins"
"2024-07-11 04:00:03","2024-07-11 04:00:03","Colonial Dr","15 mins"
"2024-07-11 04:00:02","2024-07-11 04:00:02","Orange Ave","15 mins"
"2024-07-11 04:00:02","2024-07-11 04:00:02","Orange Blossom Trail","12 mins"
"2024-07-10 14:00:01","2024-07-10 14:00:01","Colonial Dr","25 mins"
"2024-07-10 14:00:01","2024-07-10 14:00:01","Orange Ave","18 mins"
"2024-07-10 14:00:01","2024-07-10 14:00:01","Orange Blossom Trail","20 mins"
"2024-07-10 09:00:03","2024-07-10 09:00:03","Colonial Dr","16 mins"
"2024-07-10 09:00:03","2024-07-10 09:00:03","Orange Ave","17 mins"
"2024-07-10 09:00:03","2024-07-10 09:00:03","Orange Blossom Trail","15 mins"
"2024-07-10 04:00:01","2024-07-10 04:00:01","Colonial Dr","16 mins"
"2024-07-10 04:00:01","2024-07-10 04:00:01","Orange Blossom Trail","13 mins"
"2024-07-10 04:00:01","2024-07-10 04:00:01","Orange Ave","15 mins"
"2024-07-09 14:00:03","2024-07-09 14:00:03","Colonial Dr","25 mins"
"2024-07-09 14:00:03","2024-07-09 14:00:03","Orange Blossom Trail","15 mins"
"2024-07-09 14:00:02","2024-07-09 14:00:02","Orange Ave","20 mins"
"2024-07-09 09:00:02","2024-07-09 09:00:02","Orange Blossom Trail","13 mins"
"2024-07-09 09:00:02","2024-07-09 09:00:02","Orange Ave","16 mins"
"2024-07-09 09:00:02","2024-07-09 09:00:02","Colonial Dr","16 mins"
"2024-07-09 04:00:01","2024-07-09 04:00:01","Colonial Dr","16 mins"
"2024-07-09 04:00:00","2024-07-09 04:00:00","Orange Ave","15 mins"
"2024-07-09 04:00:00","2024-07-09 04:00:00","Orange Blossom Trail","12 mins"
"2024-07-08 14:00:02","2024-07-08 14:00:02","Orange Ave","21 mins"
"2024-07-08 14:00:02","2024-07-08 14:00:02","Orange Blossom Trail","14 mins"
"2024-07-08 14:00:02","2024-07-08 14:00:02","Colonial Dr","24 mins"
"2024-07-08 09:00:01","2024-07-08 09:00:01","Orange Blossom Trail","13 mins"
"2024-07-08 09:00:01","2024-07-08 09:00:01","Orange Ave","16 mins"
"2024-07-08 09:00:01","2024-07-08 09:00:01","Colonial Dr","16 mins"
"2024-07-08 04:00:02","2024-07-08 04:00:02","Colonial Dr","15 mins"
"2024-07-08 04:00:02","2024-07-08 04:00:02","Orange Ave","15 mins"
"2024-07-08 04:00:02","2024-07-08 04:00:02","Orange Blossom Trail","11 mins"
"2024-07-07 14:00:02","2024-07-07 14:00:02","Colonial Dr","16 mins"
"2024-07-07 14:00:01","2024-07-07 14:00:01","Orange Blossom Trail","11 mins"
"2024-07-07 14:00:01","2024-07-07 14:00:01","Orange Ave","14 mins"
"2024-07-07 09:00:01","2024-07-07 09:00:01","Orange Ave","13 mins"
"2024-07-07 09:00:01","2024-07-07 09:00:01","Colonial Dr","15 mins"
"2024-07-07 09:00:01","2024-07-07 09:00:01","Orange Blossom Trail","12 mins"
"2024-07-07 04:00:02","2024-07-07 04:00:02","Orange Ave","12 mins"
"2024-07-07 04:00:02","2024-07-07 04:00:02","Orange Blossom Trail","10 mins"
"2024-07-07 04:00:02","2024-07-07 04:00:02","Colonial Dr","14 mins"
"2024-07-06 14:00:02","2024-07-06 14:00:02","Orange Blossom Trail","12 mins"
"2024-07-06 14:00:02","2024-07-06 14:00:02","Colonial Dr","16 mins"
"2024-07-06 14:00:01","2024-07-06 14:00:01","Orange Ave","14 mins"
"2024-07-06 09:00:01","2024-07-06 09:00:01","Orange Blossom Trail","12 mins"
"2024-07-06 09:00:01","2024-07-06 09:00:01","Colonial Dr","16 mins"
"2024-07-06 09:00:01","2024-07-06 09:00:01","Orange Ave","15 mins"
"2024-07-06 04:00:02","2024-07-06 04:00:02","Colonial Dr","14 mins"
"2024-07-06 04:00:01","2024-07-06 04:00:01","Orange Blossom Trail","11 mins"
"2024-07-06 04:00:01","2024-07-06 04:00:01","Orange Ave","12 mins"
"2024-07-05 14:00:01","2024-07-05 14:00:01","Colonial Dr","17 mins"
"2024-07-05 14:00:01","2024-07-05 14:00:01","Orange Blossom Trail","13 mins"
"2024-07-05 14:00:01","2024-07-05 14:00:01","Orange Ave","16 mins"
"2024-07-05 09:00:01","2024-07-05 09:00:01","Orange Ave","16 mins"
"2024-07-05 09:00:01","2024-07-05 09:00:01","Orange Blossom Trail","13 mins"
"2024-07-05 09:00:01","2024-07-05 09:00:01","Colonial Dr","16 mins"
"2024-07-05 04:00:02","2024-07-05 04:00:02","Colonial Dr","15 mins"
"2024-07-05 04:00:02","2024-07-05 04:00:02","Orange Ave","14 mins"
"2024-07-05 04:00:02","2024-07-05 04:00:02","Orange Blossom Trail","12 mins"
"2024-07-04 14:00:01","2024-07-04 14:00:01","Colonial Dr","16 mins"
"2024-07-04 14:00:00","2024-07-04 14:00:00","Orange Blossom Trail","13 mins"
"2024-07-04 14:00:00","2024-07-04 14:00:00","Orange Ave","18 mins"
"2024-07-04 09:00:02","2024-07-04 09:00:02","Orange Blossom Trail","13 mins"
"2024-07-04 09:00:02","2024-07-04 09:00:02","Colonial Dr","15 mins"
"2024-07-04 09:00:01","2024-07-04 09:00:01","Orange Ave","16 mins"
"2024-07-04 04:00:02","2024-07-04 04:00:02","Orange Blossom Trail","11 mins"
"2024-07-04 04:00:02","2024-07-04 04:00:02","Colonial Dr","15 mins"
"2024-07-04 04:00:02","2024-07-04 04:00:02","Orange Ave","13 mins"
"2024-07-03 14:00:01","2024-07-03 14:00:01","Orange Ave","17 mins"
"2024-07-03 14:00:01","2024-07-03 14:00:01","Orange Blossom Trail","13 mins"
"2024-07-03 14:00:01","2024-07-03 14:00:01","Colonial Dr","21 mins"
"2024-07-03 09:00:01","2024-07-03 09:00:01","Colonial Dr","16 mins"
"2024-07-03 09:00:01","2024-07-03 09:00:01","Orange Blossom Trail","13 mins"
"2024-07-03 09:00:01","2024-07-03 09:00:01","Orange Ave","16 mins"
"2024-07-03 04:00:02","2024-07-03 04:00:02","Orange Blossom Trail","12 mins"
"2024-07-03 04:00:02","2024-07-03 04:00:02","Orange Ave","15 mins"
"2024-07-03 04:00:02","2024-07-03 04:00:02","Colonial Dr","16 mins"
"2024-07-02 14:00:01","2024-07-02 14:00:01","Orange Blossom Trail","13 mins"
"2024-07-02 14:00:01","2024-07-02 14:00:01","Colonial Dr","20 mins"
"2024-07-02 14:00:01","2024-07-02 14:00:01","Orange Ave","18 mins"
"2024-07-02 09:00:01","2024-07-02 09:00:01","Orange Ave","17 mins"
"2024-07-02 09:00:01","2024-07-02 09:00:01","Colonial Dr","17 mins"
